OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,TotalRevenue
10001,2023-06-25,North America,Home & Garden,Blender,5,35.0,175.0
10002,2023-11-01,Australia,Office Supplies,Gel Pens (Pack),7,12.5,87.5
10003,2023-09-12,Australia,Apparel,Cotton T-Shirt,4,15.0,60.0
10004,2023-06-01,Asia,Electronics,Smartwatch,12,199.99,2399.88
10005,2023-11-23,North America,Home & Garden,Stand Mixer,19,299.99,5699.81
10006,2023-03-10,Europe,Apparel,Winter Jacket,19,120.0,2280.0
10007,2023-12-27,Asia,Home & Garden,Coffee Maker,5,45.5,227.5
10008,2023-01-23,North America,Apparel,Yoga Pants,7,40.0,280.0
10009,2023-01-30,North America,Apparel,Sneakers,20,110.0,2200.0
10010,2023-11-17,South America,Office Supplies,Gel Pens (Pack),7,12.5,87.5
10011,2023-06-25,Asia,Home & Garden,Stand Mixer,2,299.99,599.98
10012,2023-09-24,Asia,Electronics,Smartphone X,2,799.99,1599.98
10013,2023-06-06,South America,Home & Garden,Coffee Maker,13,45.5,591.5
10014,2023-09-11,Australia,Electronics,Bluetooth Speaker,1,50.0,50.0
10015,2023-02-10,South America,Home & Garden,Blender,9,35.0,315.0
10016,2023-05-07,Australia,Electronics,Bluetooth Speaker,3,50.0,150.0
10017,2023-11-20,South America,Home & Garden,Stand Mixer,13,299.99,3899.87
10018,2023-08-27,Asia,Electronics,Tablet Mini,14,399.0,5586.0
10019,2023-08-23,Asia,Electronics,Bluetooth Speaker,6,50.0,300.0
10020,2023-10-26,Australia,Home & Garden,Coffee Maker,14,45.5,637.0
10021,2023-05-04,Australia,Electronics,Laptop Pro,15,1299.99,19499.85
10022,2023-11-12,Australia,Home & Garden,Air Purifier,18,210.0,3780.0
10023,2023-09-12,Europe,Office Supplies,Gel Pens (Pack),2,12.5,25.0
10024,2023-10-14,Europe,Office Supplies,Whiteboard,18,80.0,1440.0
10025,2023-08-25,North America,Office Supplies,Whiteboard,1,80.0,80.0
10026,2023-06-03,North America,Electronics,Tablet Mini,11,399.0,4389.0
10027,2023-10-13,Asia,Home & Garden,Vacuum Cleaner,13,180.0,2340.0
10028,2023-02-27,North America,Apparel,Denim Jeans,1,60.0,60.0
10029,2023-04-05,Europe,Electronics,Smartwatch,5,199.99,999.95
10030,2023-03-08,Australia,Home & Garden,Stand Mixer,12,299.99,3599.88
10031,2023-09-15,Asia,Electronics,4K Monitor,4,320.0,1280.0
10032,2023-04-26,North America,Office Supplies,Ergonomic Keyboard,8,95.0,760.0
10033,2023-05-28,Australia,Electronics,Bluetooth Speaker,10,50.0,500.0
10034,2023-04-13,Europe,Office Supplies,Gel Pens (Pack),13,12.5,162.5
10035,2024-01-01,South America,Office Supplies,Printer Paper (Case),15,30.0,450.0
10036,2023-03-09,North America,Home & Garden,Air Purifier,2,210.0,420.0
10037,2023-11-16,South America,Home & Garden,Air Purifier,17,210.0,3570.0
10038,2023-03-28,South America,Office Supplies,Printer Paper (Case),2,30.0,60.0
10039,2023-01-04,Asia,Home & Garden,Air Purifier,5,210.0,1050.0
10040,2023-12-20,North America,Apparel,Denim Jeans,13,60.0,780.0
10041,2023-03-14,Australia,Electronics,Laptop Pro,4,1299.99,5199.96
10042,2023-01-19,South America,Office Supplies,Desk Chair,14,199.99,2799.86
10043,2023-04-23,Australia,Home & Garden,Coffee Maker,20,45.5,910.0
10044,2023-04-03,Europe,Home & Garden,Vacuum Cleaner,18,180.0,3240.0
10045,2023-03-02,South America,Apparel,Denim Jeans,13,60.0,780.0
10046,2024-01-01,South America,Office Supplies,Desk Chair,20,199.99,3999.8
10047,2023-11-24,Australia,Apparel,Yoga Pants,6,40.0,240.0
10048,2023-12-09,Europe,Office Supplies,Ergonomic Keyboard,19,95.0,1805.0
10049,2023-04-18,Asia,Home & Garden,Vacuum Cleaner,1,180.0,180.0
10050,2023-07-21,North America,Office Supplies,Whiteboard,20,80.0,1600.0
10051,2023-11-01,Australia,Electronics,Tablet Mini,14,399.0,5586.0
10052,2023-09-28,South America,Apparel,Running Shoes,16,85.0,1360.0
10053,2023-05-25,Europe,Office Supplies,Gel Pens (Pack),20,12.5,250.0
10054,2023-07-24,Europe,Electronics,Bluetooth Speaker,4,50.0,200.0
10055,2023-02-05,Australia,Apparel,Denim Jeans,1,60.0,60.0
10056,2023-12-13,South America,Office Supplies,Whiteboard,17,80.0,1360.0
10057,2023-04-19,Europe,Apparel,Denim Jeans,12,60.0,720.0
